Training begins...
Batch 3450 | Loss: 0.033222
Batch 3475 | Loss: 0.031441
Batch 3500 | Loss: 0.045437
Batch 3525 | Loss: 0.036670
Batch 3550 | Loss: 0.040719
Batch 3575 | Loss: 0.049461
Batch 3600 | Loss: 0.029684
Batch 3625 | Loss: 0.032733
Batch 3650 | Loss: 0.041019
Batch 3675 | Loss: 0.050262
Batch 3700 | Loss: 0.039106
Batch 3725 | Loss: 0.043726
Batch 3750 | Loss: 0.034835
Batch 3775 | Loss: 0.047383
Batch 3800 | Loss: 0.055228
Batch 3825 | Loss: 0.044109
Batch 3850 | Loss: 0.048509
Batch 3875 | Loss: 0.024790
Batch 3900 | Loss: 0.043285
Batch 3925 | Loss: 0.033028
Batch 3950 | Loss: 0.031868
Batch 3975 | Loss: 0.044662
Batch 4000 | Loss: 0.059040
Batch 4025 | Loss: 0.039831
Batch 4050 | Loss: 0.049430
Batch 4075 | Loss: 0.031437
Batch 4100 | Loss: 0.057775
Batch 4125 | Loss: 0.042762
Batch 4150 | Loss: 0.038943
Batch 4175 | Loss: 0.037421
Batch 4200 | Loss: 0.035980
Batch 4225 | Loss: 0.053457
Batch 4250 | Loss: 0.026744
Batch 4275 | Loss: 0.044937
Batch 4300 | Loss: 0.043429
Batch 4325 | Loss: 0.055138
Batch 4350 | Loss: 0.043351
Batch 4375 | Loss: 0.036237
Batch 4400 | Loss: 0.032552
Batch 4425 | Loss: 0.043388
Batch 4450 | Loss: 0.046383
Batch 4475 | Loss: 0.041556
Batch 4500 | Loss: 0.032250
Batch 4525 | Loss: 0.051977
Batch 4550 | Loss: 0.040389
Batch 4575 | Loss: 0.055426
Batch 4600 | Loss: 0.047787
Batch 4625 | Loss: 0.031995
Batch 4650 | Loss: 0.043359
Batch 4675 | Loss: 0.036149
Batch 4700 | Loss: 0.031998
Batch 4725 | Loss: 0.040744
Batch 4750 | Loss: 0.033261
Batch 4775 | Loss: 0.071241
Batch 4800 | Loss: 0.043694
Batch 4825 | Loss: 0.055046
Batch 4850 | Loss: 0.034174
Batch 4875 | Loss: 0.030415
Batch 4900 | Loss: 0.045995
Batch 4925 | Loss: 0.032003
Batch 4950 | Loss: 0.044444
Batch 4975 | Loss: 0.046894
Batch 5000 | Loss: 0.033298
Batch 5025 | Loss: 0.051867
Batch 5050 | Loss: 0.031345
Batch 5075 | Loss: 0.048470
Batch 5100 | Loss: 0.035037
Batch 5125 | Loss: 0.029088
Batch 5150 | Loss: 0.039225
Batch 5175 | Loss: 0.038766
Batch 5200 | Loss: 0.028564
Batch 5225 | Loss: 0.029052
Batch 5250 | Loss: 0.042207
Batch 5275 | Loss: 0.037420
Batch 5300 | Loss: 0.025332
Batch 5325 | Loss: 0.035836
Batch 5350 | Loss: 0.041513
Batch 5375 | Loss: 0.033124
Batch 5400 | Loss: 0.034668
Batch 5425 | Loss: 0.035204
Batch 5450 | Loss: 0.046415
Batch 5475 | Loss: 0.040391
Batch 5500 | Loss: 0.025871
Batch 5525 | Loss: 0.031064
Batch 5550 | Loss: 0.031615
Batch 5575 | Loss: 0.033295
Batch 5600 | Loss: 0.034212
Batch 5625 | Loss: 0.035636
Batch 5650 | Loss: 0.036157
Batch 5675 | Loss: 0.030647
Batch 5700 | Loss: 0.049894
Batch 5725 | Loss: 0.043038
Batch 5750 | Loss: 0.027071
Batch 5775 | Loss: 0.025007
Batch 5800 | Loss: 0.027371
Batch 5825 | Loss: 0.039208
Batch 5850 | Loss: 0.058585
Batch 5875 | Loss: 0.029905
Batch 5900 | Loss: 0.034369
Batch 5925 | Loss: 0.038896
Batch 5950 | Loss: 0.020531
Batch 5975 | Loss: 0.046376
Batch 6000 | Loss: 0.032689
Batch 6025 | Loss: 0.039626
Batch 6050 | Loss: 0.030037
Batch 6075 | Loss: 0.056063
Batch 6100 | Loss: 0.033892
Batch 6125 | Loss: 0.059693
Batch 6150 | Loss: 0.036662
Batch 6175 | Loss: 0.035723
Batch 6200 | Loss: 0.029960
Batch 6225 | Loss: 0.049907
Batch 6250 | Loss: 0.031638
Batch 6275 | Loss: 0.031596
Batch 6300 | Loss: 0.038876
Batch 6325 | Loss: 0.053293
Batch 6350 | Loss: 0.027871
Batch 6375 | Loss: 0.032808
Batch 6400 | Loss: 0.038812
Batch 6425 | Loss: 0.033779
